stratum,model,term,estimate,standard_error,z,p_value,holm_p_value
flicker,continuous_error,Intercept,0.01357088623892324,0.020541990514627777,0.6606412474613659,0.5088424102388676,1.0
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",0.3135792241831574,0.0022393709276242357,140.03005054452316,0.0,0.0
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.03214627495755765,0.002239370927624236,14.355047018343607,9.905832341101946e-47,8.915249106991752e-46
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.29365891995139926,0.0022393709276242344,131.1345594108182,0.0,0.0
flicker,continuous_error,C(phase_deg)[T.45.0],0.026820974316605403,0.03242736597596126,0.8271092489130343,0.4081751424329826,1.0
flicker,continuous_error,C(phase_deg)[T.90.0],-0.012167523202745813,0.02845709323826038,-0.42757435205598077,0.6689610422759571,1.0
flicker,continuous_error,C(phase_deg)[T.135.0],0.001106236014337692,0.03074732222019233,0.035978288008807695,0.9712996714027262,1.0
flicker,continuous_error,snr_scaled,0.001177817154645011,0.011009482295271865,0.10698206537384929,0.9148032078484809,1.0
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",-0.02767510692863617,0.002184880005438573,-12.666648447396506,9.049909538781531e-37,7.239927631025225e-36
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.04028311546370985,0.002184880005438573,-18.437220974807623,6.604988075482315e-76,6.604988075482315e-75
flicker,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-0.011947667623872385,0.0021848800054385734,-5.468340409602548,4.542688165006843e-08,3.17988171550479e-07
flicker,continuous_error,property_scaled,-0.0003970096919257467,0.010840706191554009,-0.03662212451021474,0.9707863025532244,1.0
